run_date,service_id,operator,is_passenger_train,scheduled_arrival,actual_arrival,is_actual,origin,destination,was_scheduled_to_stop,stop_status,delay_minutes,origin_crs,origin_longitude,origin_latitude,destination_crs,destination_longitude,destination_latitude
2025-02-10,X73315,Great Northern,True,00:02,00:03,True,Welwyn Garden City,Moorgate,True,CALL,1,WGC,-0.20407048939388,51.8010467291572,MOG,-0.0889434111054453,51.5184898840489
2025-02-11,W23179,Great Northern,True,00:07,00:09,True,King's Cross,Cambridge,True,CALL,2,KGX,-0.122925992140273,51.5308818372572,CBG,0.137456461171047,52.1940653655991
2025-02-10,W23231,Thameslink,True,00:10,00:09,True,Peterborough,King's Cross,True,CALL,-1,PBO,-0.249836976699539,52.5749740639353,KGX,-0.122925992140273,51.5308818372572
2025-02-10,W24160,Great Northern,True,00:10,00:10,True,Moorgate,Welwyn Garden City,True,CALL,0,MOG,-0.0889434111054453,51.5184898840489,WGC,-0.20407048939388,51.8010467291572
2025-02-10,X73312,Great Northern,True,00:17,00:17,True,Stevenage,Moorgate,True,CALL,0,SVG,-0.20710946588827,51.9016861847805,MOG,-0.0889434111054453,51.5184898840489
2025-02-11,W23622,Great Northern,True,00:25,00:24,True,Moorgate,Letchworth Garden City,True,CALL,-1,MOG,-0.0889434111054453,51.5184898840489,LET,-0.229264161103862,51.9799626923486
2025-02-10,W23235,Thameslink,True,00:35,00:31,True,Peterborough,King's Cross,True,CALL,-4,PBO,-0.249836976699539,52.5749740639353,KGX,-0.122925992140273,51.5308818372572
2025-02-11,W23181,Great Northern,True,00:37,00:36,True,King's Cross,Cambridge,True,CALL,-1,KGX,-0.122925992140273,51.5308818372572,CBG,0.137456461171047,52.1940653655991
2025-02-11,W23939,Great Northern,True,00:41,00:40,True,King's Cross,Royston,True,CALL,-1,KGX,-0.122925992140273,51.5308818372572,RYS,-0.0269214800795917,52.0530784433586
2025-02-11,W24167,Great Northern,True,00:40,00:39,True,Moorgate,Welwyn Garden City,True,CALL,-1,MOG,-0.0889434111054453,51.5184898840489,WGC,-0.20407048939388,51.8010467291572
2025-02-10,W23614,Great Northern,True,00:49,00:49,True,Cambridge,King's Cross,True,CALL,0,CBG,0.137456461171047,52.1940653655991,KGX,-0.122925992140273,51.5308818372572
