non_adjusted_date,run_date,service_id,operator,is_passenger_train,scheduled_arrival,actual_arrival,is_actual,next_day_arrival,origin,destination,was_scheduled_to_stop,stop_status,delay_minutes
2025-02-03,2025-02-03,W24183,Great Northern,True,04:39,04:40,True,False,Welwyn Garden City,London Kings Cross,True,CALL,1
2025-02-03,2025-02-03,W23237,Thameslink,True,04:44,04:43,True,False,Peterborough,London Kings Cross,True,CALL,-1
2025-02-03,2025-02-03,W23617,Great Northern,True,05:05,05:03,True,False,Stevenage,London Kings Cross,True,CALL,-2
2025-02-03,2025-02-03,W23169,Great Northern,True,05:07,05:06,True,False,London Kings Cross,Cambridge,True,CALL,-1
2025-02-03,2025-02-03,W23448,Great Northern,True,05:11,05:10,True,False,London Kings Cross,Hertford North,True,CALL,-1
2025-02-03,2025-02-03,W23189,Thameslink,True,05:17,05:17,True,False,London Kings Cross,Peterborough,True,CALL,0
2025-02-03,2025-02-03,W23834,Great Northern,True,05:25,05:25,True,False,London Kings Cross,Stevenage,True,CALL,0
2025-02-03,2025-02-03,W24181,Great Northern,True,05:29,05:29,True,False,Welwyn Garden City,London Kings Cross,True,CALL,0
2025-02-03,2025-02-03,W23486,Great Northern,True,05:32,05:35,True,False,London Kings Cross,Cambridge,True,CALL,3
2025-02-03,2025-02-03,W25298,Thameslink,True,05:36,05:38,True,False,Peterborough,Horsham,True,CALL,2
2025-02-03,2025-02-03,W23171,Thameslink,True,05:37,05:38,True,False,London Kings Cross,Cambridge,True,CALL,1
2025-02-03,2025-02-03,W23908,Great Northern,True,05:39,05:38,False,False,Letchworth,London Kings Cross,True,CANCELLED_CALL,-1
2025-02-03,2025-02-03,W24175,Great Northern,True,05:41,05:41,True,False,Alexandra Palace,Moorgate,True,CALL,0
2025-02-03,2025-02-03,W23631,Great Northern,True,05:49,05:49,True,False,Stevenage,Moorgate,True,CALL,0
2025-02-03,2025-02-03,W26104,Thameslink,True,05:50,06:19,True,False,Cambridge,Brighton,True,CALL,29
2025-02-03,2025-02-03,W23191,Thameslink,True,05:52,05:52,True,False,London Kings Cross,Peterborough,True,CALL,0
2025-02-03,2025-02-03,W23626,Great Northern,True,05:55,05:54,True,False,Moorgate,Stevenage,True,CALL,-1
2025-02-03,2025-02-03,W24171,Great Northern,True,05:56,05:56,True,False,Welwyn Garden City,Moorgate,True,CALL,0
2025-02-03,2025-02-03,W23488,Great Northern,True,06:02,06:02,True,False,London Kings Cross,Cambridge,True,CALL,0
2025-02-03,2025-02-03,W23452,Great Northern,True,06:04,06:03,True,False,Hertford North,Moorgate,True,CALL,-1
2025-02-03,2025-02-03,W23945,Great Northern,True,06:03,06:03,True,False,Moorgate,Welwyn Garden City,True,CALL,0
2025-02-03,2025-02-03,W25301,Thameslink,True,06:05,06:09,True,False,Peterborough,Three Bridges,True,CALL,4
2025-02-03,2025-02-03,W23445,Great Northern,True,06:07,06:07,False,False,London Kings Cross,Kings Lynn,True,CANCELLED_CALL,0
2025-02-03,2025-02-03,W23953,Great Northern,True,06:11,06:11,True,False,Welwyn Garden City,Moorgate,True,CALL,0
2025-02-03,2025-02-03,W23910,Great Northern,True,06:14,06:13,False,False,Royston,London Kings Cross,True,CANCELLED_CALL,-1
2025-02-03,2025-02-03,W23844,Great Northern,True,06:18,06:18,True,False,Moorgate,Welwyn Garden City,True,CALL,0
2025-02-03,2025-02-03,W23636,Great Northern,True,06:19,06:18,False,False,Stevenage,Moorgate,True,CANCELLED_CALL,-1
2025-02-03,2025-02-03,W26108,Thameslink,True,06:21,06:23,True,False,Cambridge,Brighton,True,CALL,2
2025-02-03,2025-02-03,W23196,Thameslink,True,06:22,06:22,False,False,London Kings Cross,Peterborough,True,CANCELLED_CALL,0
2025-02-03,2025-02-03,W23629,Great Northern,True,06:25,06:25,True,False,Moorgate,Stevenage,True,CALL,0
2025-02-03,2025-02-03,W24173,Great Northern,True,06:26,06:58,True,False,Welwyn Garden City,Moorgate,True,CALL,32
2025-02-03,2025-02-03,W23489,Great Northern,True,06:32,06:31,True,False,London Kings Cross,Cambridge,True,CALL,-1
2025-02-03,2025-02-03,W23454,Great Northern,True,06:34,06:33,False,False,Hertford North,Moorgate,True,CANCELLED_CALL,-1
2025-02-03,2025-02-03,W23948,Great Northern,True,06:33,06:33,True,False,Moorgate,Welwyn Garden City,True,CALL,0
2025-02-03,2025-02-03,W25304,Thameslink,True,06:36,06:43,True,False,Peterborough,Horsham,True,CALL,7
2025-02-03,2025-02-03,W26102,Thameslink,True,06:37,07:15,True,False,Brighton,Cambridge,True,CALL,38
2025-02-03,2025-02-03,W23451,Great Northern,True,06:40,06:39,True,False,Moorgate,Hertford North,True,CALL,-1
2025-02-03,2025-02-03,W23958,Great Northern,True,06:41,06:42,True,False,Welwyn Garden City,Moorgate,True,CALL,1
2025-02-03,2025-02-03,W23491,Great Northern,True,06:44,06:48,True,False,Cambridge,London Kings Cross,True,CALL,4
2025-02-03,2025-02-03,W24170,Great Northern,True,06:48,06:48,True,False,Moorgate,Welwyn Garden City,True,CALL,0
2025-02-03,2025-02-03,W23641,Great Northern,True,06:49,06:53,True,False,Stevenage,Moorgate,True,CALL,4
2025-02-03,2025-02-03,W26112,Thameslink,True,06:51,06:53,True,False,Cambridge,Brighton,True,CALL,2
2025-02-03,2025-02-03,W25310,Thameslink,True,06:53,06:52,True,False,Horsham,Peterborough,True,CALL,-1
2025-02-03,2025-02-03,W23634,Great Northern,True,06:55,06:55,False,False,Moorgate,Stevenage,True,CANCELLED_CALL,0
2025-02-03,2025-02-03,W23846,Great Northern,True,06:56,07:06,True,False,Welwyn Garden City,Moorgate,True,CALL,10
2025-02-03,2025-02-03,W26766,Thameslink,True,06:59,07:06,True,False,Welwyn Garden City,Sevenoaks,True,CALL,7
2025-02-03,2025-02-03,W23493,Great Northern,True,07:02,07:02,True,False,London Kings Cross,Cambridge,True,CALL,0
2025-02-03,2025-02-03,W23457,Great Northern,True,07:04,07:12,True,False,Hertford North,Moorgate,True,CALL,8
2025-02-03,2025-02-03,W23950,Great Northern,True,07:03,07:12,True,False,Finsbury Park,Welwyn Garden City,True,STARTS,9
2025-02-03,2025-02-03,W25307,Thameslink,True,07:06,07:10,True,False,Peterborough,Horsham,True,CALL,4
2025-02-03,2025-02-03,W23453,Great Northern,True,07:10,07:10,False,False,Moorgate,Hertford North,True,CANCELLED_CALL,0
2025-02-03,2025-02-03,W26106,Thameslink,True,07:07,07:19,True,False,Brighton,Cambridge,True,CALL,12
2025-02-03,2025-02-03,W23964,Great Northern,True,07:11,07:15,True,False,Welwyn Garden City,Moorgate,True,CALL,4
2025-02-03,2025-02-03,W23495,Great Northern,True,07:14,07:17,True,False,Cambridge,London Kings Cross,True,CALL,3
2025-02-03,2025-02-03,W26952,Thameslink,True,07:15,07:23,True,False,Sevenoaks,Welwyn Garden City,True,CALL,8
2025-02-03,2025-02-03,W23845,Great Northern,True,07:18,07:17,True,False,Moorgate,Welwyn Garden City,True,CALL,-1
2025-02-03,2025-02-03,W23645,Great Northern,True,07:19,07:21,True,False,Stevenage,Moorgate,True,CALL,2
2025-02-03,2025-02-03,W26116,Thameslink,True,07:21,07:22,True,False,Cambridge,Brighton,True,CALL,1
2025-02-03,2025-02-03,W25314,Thameslink,True,07:22,07:27,True,False,Horsham,Peterborough,True,CALL,5
2025-02-03,2025-02-03,W23638,Great Northern,True,07:25,07:26,True,False,Moorgate,Stevenage,True,CALL,1
2025-02-03,2025-02-03,W23848,Great Northern,True,07:26,07:31,True,False,Welwyn Garden City,Moorgate,True,CALL,5
2025-02-03,2025-02-03,W26769,Thameslink,True,07:29,07:28,False,False,Welwyn Garden City,Sevenoaks,True,CANCELLED_CALL,-1
2025-02-03,2025-02-03,W23496,Great Northern,True,07:32,07:32,True,False,London Kings Cross,Cambridge,True,CALL,0
2025-02-03,2025-02-03,W23955,Great Northern,True,07:33,07:40,True,False,Moorgate,Welwyn Garden City,True,CALL,7
2025-02-03,2025-02-03,W23461,Great Northern,True,07:34,07:33,False,False,Hertford North,Moorgate,True,CANCELLED_CALL,-1
2025-02-03,2025-02-03,W25311,Thameslink,True,07:36,07:38,True,False,Peterborough,Horsham,True,CALL,2
2025-02-03,2025-02-03,W26110,Thameslink,True,07:37,07:43,True,False,Brighton,Cambridge,True,CALL,6
2025-02-03,2025-02-03,W23455,Great Northern,True,07:40,07:43,True,False,Moorgate,Hertford North,True,CALL,3
2025-02-03,2025-02-03,W23970,Great Northern,True,07:41,07:42,True,False,Welwyn Garden City,Moorgate,True,CALL,1
2025-02-03,2025-02-03,W23498,Great Northern,True,07:44,07:46,True,False,Cambridge,London Kings Cross,True,CALL,2
2025-02-03,2025-02-03,W26953,Thameslink,True,07:45,07:46,True,False,Sevenoaks,Welwyn Garden City,True,CALL,1
2025-02-03,2025-02-03,W23836,Great Northern,True,07:45,07:45,True,False,Stevenage,Moorgate,True,CALL,0
2025-02-03,2025-02-03,W23847,Great Northern,True,07:48,07:49,True,False,Moorgate,Welwyn Garden City,True,CALL,1
2025-02-03,2025-02-03,W26120,Thameslink,True,07:51,07:54,True,False,Cambridge,Brighton,True,CALL,3
2025-02-03,2025-02-03,W25318,Thameslink,True,07:52,07:54,True,False,Three Bridges,Peterborough,True,CALL,2
2025-02-03,2025-02-03,W23840,Great Northern,True,07:53,07:52,True,False,Gordon Hill,Moorgate,True,CALL,-1
2025-02-03,2025-02-03,W23642,Great Northern,True,07:55,07:59,True,False,Moorgate,Stevenage,True,CALL,4
2025-02-03,2025-02-03,W23850,Great Northern,True,07:57,08:03,True,False,Welwyn Garden City,Moorgate,True,CALL,6
2025-02-03,2025-02-03,W26774,Thameslink,True,07:59,08:06,True,False,Welwyn Garden City,Sevenoaks,True,CALL,7
2025-02-03,2025-02-03,W23500,Great Northern,True,08:02,08:02,False,False,London Kings Cross,Cambridge,True,CANCELLED_CALL,0
2025-02-03,2025-02-03,W23463,Great Northern,True,08:04,08:12,True,False,Hertford North,Moorgate,True,CALL,8
2025-02-03,2025-02-03,W23960,Great Northern,True,08:03,08:03,True,False,Moorgate,Welwyn Garden City,True,CALL,0
2025-02-03,2025-02-03,W25315,Thameslink,True,08:06,08:11,True,False,Peterborough,Horsham,True,CALL,5
2025-02-03,2025-02-03,W23459,Great Northern,True,08:10,08:10,False,False,Moorgate,Hertford North,True,CANCELLED_CALL,0
2025-02-03,2025-02-03,W26114,Thameslink,True,08:07,08:27,True,False,Brighton,Cambridge,True,CALL,20
2025-02-03,2025-02-03,W23976,Great Northern,True,08:11,08:17,True,False,Welwyn Garden City,Moorgate,True,CALL,6
2025-02-03,2025-02-03,W23502,Great Northern,True,08:14,08:19,True,False,Cambridge,London Kings Cross,True,CALL,5
2025-02-03,2025-02-03,W26954,Thameslink,True,08:15,08:12,True,False,Sevenoaks,Welwyn Garden City,True,CALL,-3
2025-02-03,2025-02-03,W23838,Great Northern,True,08:15,08:20,True,False,Stevenage,Moorgate,True,CALL,5
2025-02-03,2025-02-03,W23849,Great Northern,True,08:18,08:18,True,False,Moorgate,Welwyn Garden City,True,CALL,0
2025-02-03,2025-02-03,W26124,Thameslink,True,08:21,08:22,True,False,Cambridge,Brighton,True,CALL,1
2025-02-03,2025-02-03,W25322,Thameslink,True,08:22,08:36,True,False,Horsham,Peterborough,True,CALL,14
2025-02-03,2025-02-03,W23841,Great Northern,True,08:23,08:23,True,False,Gordon Hill,Moorgate,True,CALL,0
2025-02-03,2025-02-03,W23647,Great Northern,True,08:24,08:23,True,False,Moorgate,Stevenage,True,CALL,-1
2025-02-03,2025-02-03,W26780,Thameslink,True,08:29,08:43,True,False,Welwyn Garden City,Sevenoaks,True,CALL,14
