run_date,service_id,operator,is_passenger_train,scheduled_arrival,actual_arrival,is_actual,origin,destination,was_scheduled_to_stop,stop_status,delay_minutes
2025-02-06,W24164,Great Northern,True,00:06,00:05,True,Welwyn Garden City,Moorgate,True,CALL,-1
2025-02-07,W23179,Great Northern,True,00:07,00:06,True,London Kings Cross,Cambridge,True,CALL,-1
2025-02-06,W23231,Thameslink,True,00:10,00:11,True,Peterborough,London Kings Cross,True,CALL,1
2025-02-06,W24160,Great Northern,True,00:10,00:09,True,Moorgate,Welwyn Garden City,True,CALL,-1
2025-02-07,X46086,Great Northern,True,00:20,00:20,True,Alexandra Palace,Moorgate,True,CALL,0
2025-02-07,X46093,Great Northern,True,00:25,00:26,True,Moorgate,Alexandra Palace,True,CALL,1
2025-02-06,W23235,Thameslink,True,00:36,00:35,True,Peterborough,London Kings Cross,True,CALL,-1
2025-02-07,W23181,Great Northern,True,00:37,00:36,True,London Kings Cross,Cambridge,True,CALL,-1
2025-02-07,W23939,Great Northern,True,00:41,00:41,True,London Kings Cross,Royston,True,CALL,0
2025-02-07,W24167,Great Northern,True,00:40,00:39,True,Moorgate,Welwyn Garden City,True,CALL,-1
2025-02-07,X46072,Great Northern,True,00:45,00:45,True,Alexandra Palace,London Kings Cross,True,CALL,0
2025-02-06,W23614,Great Northern,True,00:50,00:54,True,Cambridge,London Kings Cross,True,CALL,4
2025-02-06,W26750,Thameslink,True,00:54,00:50,True,Horsham,Peterborough,True,CALL,-4
2025-02-06,W23446,Great Northern,True,01:00,00:59,False,Kings Lynn,London Kings Cross,True,CANCELLED_CALL,-1
2025-02-07,W23940,Great Northern,True,01:12,01:11,True,London Kings Cross,Royston,True,CALL,-1
2025-02-07,X46083,Great Northern,True,01:16,01:15,True,London Kings Cross,Alexandra Palace,True,CALL,-1
2025-02-07,W23187,Thameslink,True,01:41,01:40,True,London Kings Cross,Peterborough,True,CALL,-1
2025-02-07,W24185,Great Northern,True,01:46,01:45,True,London Kings Cross,Welwyn Garden City,True,CALL,-1
2025-02-07,W24183,Great Northern,True,04:39,04:36,True,Welwyn Garden City,London Kings Cross,True,CALL,-3
2025-02-07,W23237,Thameslink,True,04:44,04:44,True,Peterborough,London Kings Cross,True,CALL,0
2025-02-07,W23617,Great Northern,True,05:05,05:03,True,Stevenage,London Kings Cross,True,CALL,-2
2025-02-07,W23169,Great Northern,True,05:07,05:06,True,London Kings Cross,Cambridge,True,CALL,-1
2025-02-07,W23448,Great Northern,True,05:11,05:10,True,London Kings Cross,Hertford North,True,CALL,-1
2025-02-07,W23189,Thameslink,True,05:17,05:17,True,London Kings Cross,Peterborough,True,CALL,0
2025-02-07,W23834,Great Northern,True,05:25,05:24,True,London Kings Cross,Stevenage,True,CALL,-1
2025-02-07,W24181,Great Northern,True,05:29,05:30,True,Welwyn Garden City,London Kings Cross,True,CALL,1
2025-02-07,W23486,Great Northern,True,05:32,05:31,True,London Kings Cross,Cambridge,True,CALL,-1
2025-02-07,W25298,Thameslink,True,05:36,05:39,True,Peterborough,Horsham,True,CALL,3
2025-02-07,W23171,Thameslink,True,05:37,05:37,True,London Kings Cross,Cambridge,True,CALL,0
2025-02-07,W23908,Great Northern,True,05:39,05:59,True,Letchworth,London Kings Cross,True,CALL,20
2025-02-07,W24175,Great Northern,True,05:41,05:42,True,Alexandra Palace,Moorgate,True,CALL,1
2025-02-07,W23631,Great Northern,True,05:49,06:02,True,Stevenage,Moorgate,True,CALL,13
2025-02-07,W26104,Thameslink,True,05:50,05:54,True,Cambridge,Brighton,True,CALL,4
2025-02-07,W23191,Thameslink,True,05:52,05:52,True,London Kings Cross,Peterborough,True,CALL,0
2025-02-07,W23626,Great Northern,True,05:55,05:54,True,Moorgate,Stevenage,True,CALL,-1
2025-02-07,W24171,Great Northern,True,05:56,05:55,True,Welwyn Garden City,Moorgate,True,CALL,-1
2025-02-07,W23488,Great Northern,True,06:02,06:02,True,London Kings Cross,Cambridge,True,CALL,0
2025-02-07,W23452,Great Northern,True,06:04,06:15,True,Hertford North,Moorgate,True,CALL,11
2025-02-07,W23945,Great Northern,True,06:03,06:03,True,Moorgate,Welwyn Garden City,True,CALL,0
2025-02-07,W25301,Thameslink,True,06:05,06:08,True,Peterborough,Horsham,True,CALL,3
2025-02-07,W23445,Great Northern,True,06:07,06:12,True,London Kings Cross,Kings Lynn,True,CALL,5
