non_adjusted_date,run_date,service_id,operator,is_passenger_train,scheduled_arrival,actual_arrival,is_actual,next_day_arrival,origin,destination,was_scheduled_to_stop,stop_status,delay_minutes,origin_csr,origin_longitude,origin_latitude,destination_csr,destination_longitude,destination_latitude
2025-02-03,2025-02-04,W24164,Great Northern,True,00:06,00:05,True,True,Welwyn Garden City,Moorgate,True,CALL,1439,WGC,-0.20407048939388,51.8010467291572,MOG,-0.0889434111054453,51.5184898840489
2025-02-04,2025-02-04,W23179,Great Northern,True,00:07,00:06,True,False,London Kings Cross,Cambridge,True,CALL,0,,,,CBG,0.137456461171047,52.1940653655991
2025-02-03,2025-02-04,W23231,Thameslink,True,00:10,00:10,True,True,Peterborough,London Kings Cross,True,CALL,1440,PBO,-0.249836976699539,52.5749740639353,,,
2025-02-03,2025-02-04,W24160,Great Northern,True,00:10,00:09,True,True,Moorgate,Welwyn Garden City,True,CALL,1439,MOG,-0.0889434111054453,51.5184898840489,WGC,-0.20407048939388,51.8010467291572
2025-02-04,2025-02-04,X46092,Great Northern,True,00:25,00:23,True,False,Moorgate,Finsbury Park,True,DESTINATION,0,MOG,-0.0889434111054453,51.5184898840489,FPK,-0.106284978884699,51.5643002449157
2025-02-03,2025-02-04,W23235,Thameslink,True,00:36,00:35,True,True,Peterborough,London Kings Cross,True,CALL,1439,PBO,-0.249836976699539,52.5749740639353,,,
2025-02-04,2025-02-04,W23181,Great Northern,True,00:37,00:36,True,False,London Kings Cross,Cambridge,True,CALL,0,,,,CBG,0.137456461171047,52.1940653655991
2025-02-04,2025-02-04,W23939,Great Northern,True,00:41,00:41,False,False,London Kings Cross,Royston,True,CANCELLED_CALL,0,,,,RYS,-0.0269214800795917,52.0530784433586
2025-02-04,2025-02-04,W24167,Great Northern,True,00:40,00:39,True,False,Moorgate,Welwyn Garden City,True,CALL,0,MOG,-0.0889434111054453,51.5184898840489,WGC,-0.20407048939388,51.8010467291572
2025-02-03,2025-02-04,W23614,Great Northern,True,00:50,00:52,True,True,Cambridge,London Kings Cross,True,CALL,1442,CBG,0.137456461171047,52.1940653655991,,,
2025-02-03,2025-02-04,W26750,Thameslink,True,00:54,00:51,True,True,Horsham,Peterborough,True,CALL,1437,HRH,-0.319269498076974,51.0660637772242,PBO,-0.249836976699539,52.5749740639353
2025-02-03,2025-02-04,W23446,Great Northern,True,01:00,00:55,True,True,Kings Lynn,London Kings Cross,True,CALL,1435,KLN,0.403446572159957,52.7539216944381,,,
2025-02-04,2025-02-04,W23940,Great Northern,True,01:12,01:12,True,False,London Kings Cross,Royston,True,CALL,0,,,,RYS,-0.0269214800795917,52.0530784433586
2025-02-04,2025-02-04,X46084,Great Northern,True,01:16,01:15,True,False,London Kings Cross,Alexandra Palace,True,CALL,0,,,,AAP,-0.120235220128854,51.5979224924556
2025-02-04,2025-02-04,W23187,Thameslink,True,01:41,01:40,True,False,London Kings Cross,Peterborough,True,CALL,0,,,,PBO,-0.249836976699539,52.5749740639353
2025-02-04,2025-02-04,W24185,Great Northern,True,01:46,01:45,True,False,London Kings Cross,Welwyn Garden City,True,CALL,0,,,,WGC,-0.20407048939388,51.8010467291572
2025-02-04,2025-02-04,W24183,Great Northern,True,04:39,04:39,True,False,Welwyn Garden City,London Kings Cross,True,CALL,0,WGC,-0.20407048939388,51.8010467291572,,,
2025-02-04,2025-02-04,W23237,Thameslink,True,04:44,04:41,True,False,Peterborough,London Kings Cross,True,CALL,0,PBO,-0.249836976699539,52.5749740639353,,,
2025-02-04,2025-02-04,W23617,Great Northern,True,05:05,05:04,True,False,Stevenage,London Kings Cross,True,CALL,0,SVG,-0.20710946588827,51.9016861847805,,,
2025-02-04,2025-02-04,W23169,Great Northern,True,05:07,05:06,True,False,London Kings Cross,Cambridge,True,CALL,0,,,,CBG,0.137456461171047,52.1940653655991
2025-02-04,2025-02-04,W23448,Great Northern,True,05:11,05:11,True,False,London Kings Cross,Hertford North,True,CALL,0,,,,HFN,-0.0917885499098777,51.7988551590785
2025-02-04,2025-02-04,W23189,Thameslink,True,05:17,05:16,True,False,London Kings Cross,Peterborough,True,CALL,0,,,,PBO,-0.249836976699539,52.5749740639353
2025-02-04,2025-02-04,W23834,Great Northern,True,05:25,05:25,True,False,London Kings Cross,Stevenage,True,CALL,0,,,,SVG,-0.20710946588827,51.9016861847805
2025-02-04,2025-02-04,W24181,Great Northern,True,05:29,05:28,True,False,Welwyn Garden City,London Kings Cross,True,CALL,0,WGC,-0.20407048939388,51.8010467291572,,,
2025-02-04,2025-02-04,W23486,Great Northern,True,05:32,05:32,True,False,London Kings Cross,Cambridge,True,CALL,0,,,,CBG,0.137456461171047,52.1940653655991
2025-02-04,2025-02-04,W25298,Thameslink,True,05:36,05:37,True,False,Peterborough,Horsham,True,CALL,0,PBO,-0.249836976699539,52.5749740639353,HRH,-0.319269498076974,51.0660637772242
2025-02-04,2025-02-04,W23171,Thameslink,True,05:37,05:37,True,False,London Kings Cross,Cambridge,True,CALL,0,,,,CBG,0.137456461171047,52.1940653655991
2025-02-04,2025-02-04,W23908,Great Northern,True,05:39,05:44,True,False,Letchworth,London Kings Cross,True,CALL,0,,,,,,
2025-02-04,2025-02-04,W24175,Great Northern,True,05:41,05:44,True,False,Alexandra Palace,Moorgate,True,CALL,0,AAP,-0.120235220128854,51.5979224924556,MOG,-0.0889434111054453,51.5184898840489
2025-02-04,2025-02-04,W23631,Great Northern,True,05:49,05:49,True,False,Stevenage,Moorgate,True,CALL,0,SVG,-0.20710946588827,51.9016861847805,MOG,-0.0889434111054453,51.5184898840489
2025-02-04,2025-02-04,W26104,Thameslink,True,05:50,05:52,True,False,Cambridge,Brighton,True,CALL,0,CBG,0.137456461171047,52.1940653655991,BTN,-0.141280362604851,50.8290032740444
2025-02-04,2025-02-04,W23191,Thameslink,True,05:52,05:52,True,False,London Kings Cross,Peterborough,True,CALL,0,,,,PBO,-0.249836976699539,52.5749740639353
2025-02-04,2025-02-04,W23626,Great Northern,True,05:55,05:54,True,False,Moorgate,Stevenage,True,CALL,0,MOG,-0.0889434111054453,51.5184898840489,SVG,-0.20710946588827,51.9016861847805
